btr_pwr,btr_life,mhz,cores,frontcam,backcam,px_h,px_w,cm_h,cm_w,rom,ram,thick,weight,dual_sim,bt,touch,wifi,4g,3g,class
1073,18,0.5,7,0,0,690,804,6,0,51,2908,0.5,145,1,1,1,0,0,0,2
1936,13,2.1,3,10,20,667,1036,14,7,46,2552,0.6,104,1,0,0,0,1,1,2
823,17,2.7,8,13,19,822,1449,14,11,60,905,0.5,148,1,1,1,1,0,1,0
987,20,1.3,3,0,9,581,820,9,4,61,3963,0.4,107,1,0,0,1,1,1,3
1757,4,0.5,6,8,14,265,713,7,5,49,2056,0.5,180,0,0,0,0,0,0,1
1063,9,1.4,5,2,4,127,683,15,13,48,2910,1.0,128,1,0,1,1,1,1,2
1484,20,3.0,3,3,5,916,969,14,4,12,1457,0.6,134,0,0,1,0,0,1,1
799,6,2.3,8,1,6,361,975,15,6,63,431,0.8,144,0,1,1,1,1,1,0
1156,15,1.2,2,0,0,322,547,7,0,50,470,0.8,159,1,1,1,0,1,1,0
1720,5,2.0,2,15,18,753,1353,14,2,55,2148,0.5,168,0,0,1,1,1,1,2
702,19,2.6,3,2,3,504,1570,10,4,9,2955,0.7,141,1,0,0,0,1,1,2
616,13,1.9,3,13,17,651,1618,18,8,44,3366,0.8,81,1,0,1,0,1,1,3
1358,4,0.5,4,11,14,1565,1858,9,4,36,3068,0.3,155,0,1,1,0,1,1,3
1866,8,1.4,3,0,0,108,1781,16,11,30,3834,0.5,182,0,0,0,0,0,0,3
1242,4,1.1,2,0,1,459,1225,11,1,10,1050,0.6,165,1,0,0,1,0,1,0
1166,7,1.5,4,0,1,205,603,7,1,43,3993,0.8,80,1,0,1,0,1,1,3
1448,2,0.5,7,6,11,570,1724,13,11,45,3378,0.8,138,1,1,1,1,1,1,3
1407,13,2.4,4,1,4,1172,1217,9,7,22,2192,0.7,104,0,1,0,1,1,1,2
605,4,1.0,3,8,16,160,1026,15,6,9,392,0.1,142,0,0,0,0,1,1,0
1038,12,1.2,1,3,5,4,638,11,0,43,3709,0.7,141,0,0,1,1,0,1,3
797,6,2.9,4,4,6,763,1413,9,2,38,590,0.5,90,1,1,1,0,0,0,0
819,13,0.6,6,8,20,339,1242,5,4,42,1814,0.9,188,1,0,0,1,1,1,1
1114,17,2.8,3,4,15,1040,1071,10,7,9,907,0.4,197,0,0,1,0,1,1,0
1234,6,1.6,1,1,3,166,778,11,7,33,1449,0.6,172,1,1,0,1,0,0,0
1199,10,2.5,4,15,20,1168,1552,17,13,16,3448,0.2,116,1,1,0,1,1,1,3
1103,16,1.0,6,6,8,990,1486,8,7,29,1837,0.7,111,1,0,1,1,0,0,1
1589,6,0.6,7,0,7,319,1206,19,10,58,3464,0.9,85,1,1,1,1,1,1,3
999,16,2.9,4,11,19,1397,1616,14,11,64,2593,0.2,199,1,0,1,0,1,1,2
1510,11,0.9,5,2,3,708,1752,9,6,45,3484,0.9,180,1,1,1,1,0,0,3
1008,11,0.8,3,11,15,1077,1122,10,3,61,2009,1.0,114,0,0,0,0,0,1,1
1127,17,2.9,1,5,13,928,1049,11,5,57,2048,0.8,163,1,1,1,1,1,1,1
1412,4,2.4,8,5,17,516,1894,15,9,25,837,0.8,96,0,1,0,1,0,0,1
1496,7,2.0,5,4,5,96,741,16,0,42,854,0.5,182,1,1,1,1,0,0,0
1083,4,2.9,3,1,11,1025,1118,13,3,64,3210,0.8,178,1,1,0,0,1,1,3
668,8,0.5,5,0,13,666,1203,9,5,3,2746,0.1,155,1,0,1,1,0,1,2
1309,11,1.1,4,0,14,557,1402,10,1,33,2334,0.5,100,1,0,0,1,0,1,2
1724,16,2.0,3,2,5,1605,1924,19,3,57,2822,0.5,177,1,0,1,0,1,1,3
1977,14,2.0,7,7,18,1226,1242,18,7,54,1971,1.0,171,1,1,1,0,1,1,2
885,5,2.3,7,0,0,769,802,16,10,15,1410,0.4,103,1,0,1,1,1,1,0
879,2,2.5,6,11,15,403,1105,16,10,14,349,0.7,83,0,1,0,1,1,1,0
1322,12,1.7,3,6,9,177,1990,19,17,7,1418,0.8,140,1,0,1,0,0,0,1
1137,12,1.0,3,18,19,942,1179,13,5,7,3616,1.0,196,0,1,1,1,0,1,3
1355,8,2.3,5,10,16,651,891,19,4,23,880,0.2,132,0,0,1,0,1,1,0
1665,14,0.5,6,3,18,1572,1684,18,17,60,1601,0.2,194,0,1,0,0,1,1,2
657,18,2.5,2,0,1,476,961,14,3,37,1412,0.7,141,0,0,1,0,0,0,0
593,7,0.5,7,6,7,1233,1317,6,2,31,1692,0.4,156,0,0,0,0,0,1,1
1883,20,0.5,6,3,13,836,1739,16,8,10,2600,0.3,146,0,1,0,0,1,1,3
1732,11,1.1,8,4,9,824,881,16,7,12,1308,0.8,119,0,1,0,1,1,1,1
543,15,0.5,5,0,4,391,984,17,14,57,2413,0.7,192,0,0,0,0,0,1,1
1939,18,2.8,4,0,10,320,520,14,10,55,1047,0.6,199,1,1,1,0,1,1,0
553,8,2.4,7,1,3,325,902,11,4,8,1204,0.5,121,1,0,1,1,1,1,0
832,11,0.7,4,2,3,125,1504,5,2,39,1799,0.7,103,1,0,0,1,1,1,1
1661,11,1.9,5,5,10,846,1634,12,6,23,2676,1.0,172,1,0,1,1,0,0,3
1657,14,2.4,5,3,16,1770,1796,18,1,42,2597,0.1,198,0,1,0,0,0,1,3
1135,9,2.0,1,0,4,293,1846,19,17,46,3029,0.3,83,1,1,1,1,0,1,3
1775,14,1.5,1,3,7,1633,1869,19,13,41,2343,0.1,163,0,1,1,1,0,1,3
783,18,1.8,3,0,4,1198,1471,16,4,43,2016,1.0,106,1,0,1,0,1,1,1
617,7,2.3,7,0,20,768,874,18,13,32,2213,0.5,199,0,1,0,0,0,0,1
867,3,1.4,6,0,1,70,1974,13,6,4,790,0.7,135,1,0,1,0,1,1,0
1310,5,1.1,5,13,14,117,513,8,4,7,3182,1.0,194,1,1,1,0,0,1,2
1804,20,0.5,7,9,19,1158,1244,9,1,22,3472,0.6,153,0,0,0,1,1,1,3
1900,13,2.3,7,1,9,1055,1661,12,1,18,2871,0.2,89,0,1,1,1,1,1,3
909,4,1.4,8,0,0,635,973,12,9,53,3187,0.3,82,0,1,0,0,0,1,2
1084,10,2.6,3,3,11,322,771,15,4,40,1945,0.9,107,0,1,1,0,1,1,1
1308,9,1.3,1,8,12,275,989,5,3,46,488,0.9,199,1,0,1,0,0,0,0
1778,14,0.5,3,0,0,1445,1954,5,0,15,1214,0.5,102,0,0,0,0,0,1,1
1701,6,1.6,8,3,7,550,1338,12,9,10,2598,0.3,194,1,1,1,0,0,0,2
772,4,2.4,4,1,2,1242,1712,18,11,10,3242,0.5,80,1,1,1,0,1,1,3
825,6,0.5,3,7,10,597,863,10,4,52,3534,0.9,130,1,1,1,0,0,0,3
1379,17,1.1,2,5,7,538,1376,5,4,36,3426,0.8,200,0,0,1,1,1,1,3
1166,15,2.0,5,3,4,59,1203,13,5,25,2488,0.8,198,0,0,0,0,1,1,2
1659,9,2.8,1,5,20,819,902,19,14,16,3255,0.6,89,0,0,0,1,0,0,3
826,18,2.4,4,0,1,179,786,9,3,58,2863,0.3,88,1,1,0,1,1,1,2
1564,7,2.3,6,4,17,1259,1965,6,4,25,1496,0.5,189,0,0,1,1,1,1,1
1957,7,0.9,3,11,16,396,1732,12,0,31,3801,0.6,181,1,0,0,1,0,1,3
1571,13,1.4,6,0,1,713,1398,12,10,19,666,0.1,100,0,0,1,0,1,1,0
1414,7,2.0,7,2,3,262,829,17,7,54,3799,0.8,99,1,0,0,1,0,1,3
1790,20,2.5,1,9,14,622,792,7,0,2,1366,0.1,184,1,0,1,1,0,1,1
645,4,0.5,7,1,10,327,580,12,9,41,2962,1.0,197,0,0,1,1,0,1,2
668,7,2.9,8,7,12,522,1056,10,5,30,2399,0.2,195,1,0,1,1,0,1,1
1652,20,1.1,4,1,5,313,1264,12,8,36,2338,0.7,89,1,1,0,0,0,0,2
1213,9,0.5,5,0,0,226,1248,12,3,16,2700,0.5,108,0,1,0,1,0,0,2
1272,4,2.5,6,0,8,605,669,19,4,22,2235,0.9,133,1,1,0,0,0,1,1
866,2,0.5,8,5,7,692,1686,12,11,46,3825,0.5,179,1,0,1,1,1,1,3
536,4,2.4,7,12,14,1386,1539,12,9,3,284,0.3,182,1,0,1,0,1,1,0
523,9,2.6,8,1,2,304,1042,9,1,14,1427,0.1,155,1,0,1,0,0,0,0
1753,17,0.5,1,0,18,1590,1926,17,0,31,1324,0.1,134,1,0,0,1,1,1,2
1218,5,1.8,3,1,4,229,616,17,0,14,398,0.5,147,1,0,0,0,1,1,0
1537,17,2.5,1,4,5,839,1131,18,17,43,3685,0.3,137,0,1,1,1,1,1,3
786,5,2.2,7,0,6,507,1697,12,11,33,2390,0.5,141,1,0,0,1,0,1,2
1678,10,2.1,3,3,11,436,536,19,0,64,278,0.9,134,0,0,1,0,1,1,0
1814,16,1.4,2,1,2,756,786,18,12,9,3556,0.4,141,1,0,0,0,1,1,3
1101,19,1.8,2,0,7,387,1269,12,6,31,2196,0.2,148,0,0,1,1,0,0,1
1461,4,2.4,7,3,4,1265,1298,16,1,40,3799,0.5,141,1,0,0,0,1,1,3
1216,4,3.0,3,4,7,1852,1967,13,5,47,2268,0.4,199,0,0,1,1,0,0,2
506,15,1.6,1,6,7,875,1025,13,10,41,2965,0.8,159,0,0,0,0,1,1,2
843,20,0.5,5,1,17,140,800,10,1,56,2341,0.1,147,0,1,1,1,1,1,1
742,12,2.2,7,4,14,577,1359,16,11,56,3557,0.2,190,1,0,1,1,0,0,3
1692,19,2.1,6,3,12,975,1996,16,7,61,1354,0.9,176,0,1,0,0,1,1,1
1485,11,1.0,2,2,9,510,1013,19,1,32,2147,0.7,84,0,0,1,0,1,1,2
1547,3,2.9,2,6,8,583,590,12,2,45,505,0.7,166,1,0,1,1,0,0,0
1692,6,2.3,1,4,6,674,1925,16,10,46,1394,0.9,139,1,0,1,0,1,1,1
637,8,2.3,4,3,4,1125,1989,18,4,60,374,0.8,97,0,0,0,1,1,1,0
1224,11,0.5,6,16,18,747,826,10,0,6,506,0.4,109,0,0,1,1,1,1,0
1356,19,2.8,6,0,0,1612,1983,17,0,29,3702,0.5,198,0,0,0,0,0,0,3
1840,10,0.5,1,12,16,311,1545,8,0,34,1078,0.7,142,1,0,0,0,0,0,1
1481,16,0.7,5,4,13,116,1533,10,5,37,2945,0.6,96,1,1,1,1,1,1,2
961,7,1.5,6,10,16,554,621,15,6,51,2981,0.3,152,1,1,1,1,0,1,2
1296,4,0.9,5,0,3,811,1272,7,1,14,490,0.5,124,1,0,1,1,1,1,0
1193,4,0.9,1,11,20,730,1729,17,14,26,536,0.5,166,0,0,0,1,0,1,0
1441,7,2.1,8,11,17,577,1071,16,4,3,2317,0.1,118,1,0,0,1,1,1,2
517,11,1.4,4,3,8,660,974,17,16,33,3704,0.8,183,1,0,0,1,1,1,3
748,7,1.7,8,0,4,450,1554,18,9,27,2126,0.9,150,0,1,0,0,1,1,1
1126,12,2.4,6,2,3,1223,1611,7,6,10,2050,0.4,160,0,1,1,1,1,1,2
1572,10,0.6,7,0,8,1109,1937,12,8,58,2462,0.2,157,0,0,0,0,1,1,3
1569,17,2.8,4,17,20,45,1942,9,2,44,1260,0.3,110,1,0,0,0,0,1,1
1270,13,0.6,7,2,6,299,845,5,3,32,3770,0.5,101,1,1,1,0,1,1,3
1854,20,3.0,5,2,5,506,627,17,4,8,1886,0.1,101,0,0,1,0,1,1,1
625,7,1.2,4,5,8,635,842,9,1,10,3323,0.2,183,1,1,1,1,1,1,2
1577,12,0.5,5,0,4,1045,1737,19,6,42,2060,0.3,197,1,0,0,0,1,1,2
534,20,0.5,5,0,1,393,1199,16,12,16,3926,1.0,189,1,0,0,0,1,1,3
946,13,1.7,6,8,15,650,1740,7,5,25,2177,0.8,143,1,0,1,1,1,1,2
685,4,0.5,7,2,10,433,648,14,8,29,728,0.8,93,0,0,0,1,0,0,0
1949,20,1.3,5,0,1,839,1136,14,8,23,2478,0.1,101,1,0,0,0,0,1,3
947,2,0.8,2,0,13,1176,1220,16,12,22,2842,0.1,197,1,0,0,0,1,1,2
801,19,2.2,7,2,4,650,879,17,4,63,1617,0.4,165,1,1,0,1,0,0,1
703,7,2.7,1,12,20,218,1065,14,7,30,1472,0.3,113,0,1,0,0,1,1,0
1165,15,2.4,6,11,12,564,831,19,12,41,764,0.2,178,0,1,0,0,0,1,0
1082,17,0.8,8,0,5,986,1191,6,1,38,2337,0.1,198,0,0,1,1,0,0,2
959,6,2.6,4,15,19,561,1631,16,1,20,3965,1.0,84,1,1,0,0,0,1,3
1502,16,1.2,5,0,12,65,588,17,14,54,3693,0.2,138,0,1,1,0,0,1,3
1380,15,2.1,3,1,13,420,500,13,2,4,797,0.8,92,1,1,1,0,1,1,0
1266,18,0.5,6,0,9,1365,1698,11,0,5,1687,0.1,95,0,0,0,0,1,1,2
1934,2,2.6,1,0,17,619,1299,13,9,46,2940,0.1,103,1,1,1,1,1,1,3
1905,10,0.5,1,3,5,849,898,9,5,6,1545,0.5,151,0,1,1,0,1,1,1
1831,13,1.4,5,2,5,611,1381,17,7,43,3834,0.9,150,1,0,1,1,0,1,3
596,15,1.4,1,8,18,953,984,15,4,46,2505,0.6,165,0,0,1,0,0,1,1
1562,6,1.3,5,1,15,642,1533,12,10,7,2243,0.2,190,1,1,0,0,1,1,2
1490,7,0.5,8,4,8,1417,1464,17,9,64,3600,0.3,150,1,1,1,1,1,1,3
1523,10,2.4,2,5,6,247,539,18,12,57,3971,0.2,117,0,1,1,1,1,1,3
640,18,0.6,4,0,15,710,1179,7,5,20,2844,0.1,163,0,0,1,0,0,1,2
1526,3,2.1,7,1,8,718,751,18,10,23,2227,0.2,117,0,0,1,0,1,1,2
1989,12,2.5,3,0,13,1100,1497,17,9,41,1665,0.8,94,1,0,1,1,1,1,2
1308,4,1.9,3,0,7,59,1215,15,2,61,3355,0.7,106,0,0,0,1,1,1,3
609,14,0.5,4,3,4,938,1948,11,10,26,1866,0.3,93,0,0,1,1,0,1,1
1905,16,0.6,3,9,20,825,1542,13,4,36,1287,0.4,119,1,0,0,0,1,1,1
1703,13,0.5,1,0,0,286,1235,5,4,22,1046,0.6,192,0,1,0,1,1,1,0
1445,13,2.4,7,7,15,1273,1345,7,4,20,1441,0.4,173,1,1,1,1,1,1,1
1087,6,1.3,3,0,9,295,589,14,6,16,690,0.3,166,0,0,0,1,1,1,0
671,15,0.9,7,10,17,852,1182,6,4,30,2504,0.7,105,1,0,0,0,0,1,2
1472,8,2.3,6,6,19,710,1052,19,15,61,2677,0.1,168,0,1,0,0,0,1,2
765,4,0.5,8,0,1,1277,1429,11,7,47,2243,0.3,115,1,0,0,1,1,1,2
1642,17,0.5,6,16,17,129,873,13,4,8,2984,0.3,171,1,0,0,1,1,1,2
1265,12,1.5,5,7,16,690,836,5,0,49,1362,0.7,182,0,0,0,1,0,0,1
664,6,1.1,7,1,4,701,1478,19,15,51,3629,0.1,110,1,1,1,1,1,1,3
1277,6,0.5,6,0,6,309,1460,18,17,35,3559,0.4,142,1,1,1,0,1,1,3
1395,13,1.8,3,0,1,213,705,11,0,23,2571,0.1,111,1,0,0,1,0,1,2
1539,10,2.6,8,0,0,1112,1666,15,9,41,2107,0.1,159,0,1,0,1,0,1,2
1049,13,2.2,5,9,17,199,1077,11,3,63,1022,0.5,135,0,1,0,0,0,0,0
1827,10,1.7,5,4,16,55,1020,14,9,39,2844,0.5,128,0,0,1,0,1,1,2
903,10,1.0,1,0,0,1230,1235,9,5,50,711,0.4,91,1,0,1,0,1,1,0
1987,8,0.5,3,3,7,1052,1516,18,5,53,3117,1.0,181,0,1,1,1,1,1,3
1154,7,1.2,8,0,2,541,1499,5,3,49,978,0.2,181,1,0,0,1,1,1,0
1336,16,0.9,5,5,9,55,583,13,1,17,1869,0.2,194,0,0,1,1,1,1,1
1886,20,0.5,3,0,1,809,1958,16,7,24,1179,0.4,112,0,0,0,1,1,1,1
1551,4,1.1,5,4,6,1738,1995,11,8,51,3844,0.1,88,0,0,1,0,0,0,3
850,10,1.6,5,6,19,404,642,19,17,29,593,0.5,133,1,1,0,1,1,1,0
660,18,0.5,2,5,10,262,1178,6,5,40,588,0.5,111,0,0,1,1,1,1,0
1225,11,2.1,4,8,12,759,1404,12,11,13,3836,0.5,116,1,1,0,0,0,0,3
1452,13,0.5,6,1,11,42,1040,12,10,25,2669,0.9,123,1,1,0,0,1,1,2
1686,2,2.8,4,3,4,397,1453,14,11,38,2958,0.1,166,1,1,0,0,0,0,3
1634,6,1.4,2,1,5,964,1677,11,6,17,3031,0.2,200,0,1,1,1,1,1,3
1708,16,2.4,1,18,19,233,517,6,4,49,3388,0.1,109,1,1,1,1,1,1,3
1151,13,2.9,8,0,1,1022,1560,18,8,31,2377,0.6,128,1,1,1,0,0,0,2
1578,3,1.9,4,2,19,411,1226,19,16,37,2458,0.1,138,1,0,0,1,1,1,2
1689,7,1.8,3,17,18,954,1200,7,2,24,2766,0.3,127,0,0,1,1,0,0,3
1488,19,0.5,5,1,6,1528,1647,14,10,39,3054,0.8,112,0,0,0,0,0,0,3
1313,6,1.8,1,4,6,416,1308,11,10,9,3791,0.4,105,1,1,1,1,0,0,3
1715,13,1.0,8,4,17,638,1615,17,6,31,625,0.5,83,1,0,0,0,1,1,0
1442,20,1.0,3,0,19,231,687,6,5,27,2227,0.1,192,1,0,1,0,0,1,1
528,6,1.7,2,12,15,574,637,9,8,6,3256,0.8,142,0,0,1,0,1,1,2
1523,19,1.8,1,6,8,148,1606,19,8,11,707,0.1,129,0,1,1,0,1,1,0
1133,20,1.4,5,3,12,730,1543,18,12,42,1457,0.1,199,0,0,0,1,0,1,1
1718,8,2.5,5,14,16,564,980,7,1,6,3755,0.1,183,1,1,1,1,1,1,3
1330,11,0.5,7,0,1,1290,1441,9,0,38,1733,1.0,183,0,0,0,1,0,1,1
1799,11,0.5,4,0,2,632,1383,12,2,49,720,0.4,107,0,1,1,1,0,1,0
633,16,2.2,8,0,1,529,1009,11,1,49,3560,0.1,139,0,1,1,1,1,1,2
724,7,2.7,7,0,0,1273,1754,7,6,44,2311,0.5,187,1,0,0,0,0,1,2
822,3,0.5,6,0,20,667,860,10,1,51,3846,0.3,157,0,1,0,0,1,1,3
1918,16,1.9,5,2,10,1170,1543,7,1,10,1717,0.6,110,0,0,1,1,0,1,2
1891,11,2.8,7,7,14,169,1108,8,6,37,3704,0.4,129,0,0,0,0,1,1,3
1373,14,1.0,7,2,12,105,673,8,3,50,3800,0.2,127,1,1,0,0,0,1,3
862,11,0.8,2,3,15,793,1758,16,3,23,278,0.4,165,1,1,0,1,0,0,0
1273,11,1.0,4,3,15,490,886,18,15,48,1767,0.4,99,0,0,1,0,1,1,1
957,7,2.5,5,4,10,1201,1485,12,5,7,1846,0.8,107,0,1,0,1,0,1,1
1617,10,1.3,2,3,4,246,1038,9,0,30,829,0.7,105,1,1,0,0,1,1,0
893,6,2.5,2,0,1,417,946,7,1,55,2986,0.6,183,1,0,1,1,0,0,2
1210,7,0.5,5,0,0,1177,1462,17,9,63,2394,0.1,93,0,0,0,0,0,0,2
708,7,2.7,8,0,7,78,654,6,5,63,2169,1.0,195,1,1,1,1,1,1,1
835,15,1.1,4,2,7,323,1604,13,5,7,1181,0.2,101,1,0,1,1,0,1,0
1450,12,2.7,1,9,17,707,1882,15,9,19,575,0.6,131,1,1,0,0,0,0,0
973,2,1.5,7,5,16,457,1816,6,4,57,2977,0.2,190,0,1,0,0,1,1,2
601,10,1.4,4,4,13,356,765,12,8,4,532,0.1,154,0,1,1,1,1,1,0
507,5,0.5,7,1,11,936,1398,17,0,32,1702,0.5,141,1,1,1,1,0,1,1
564,15,1.8,3,0,1,912,1980,14,8,51,1074,0.5,168,1,0,1,0,1,1,0
1559,3,1.6,6,6,17,179,1559,9,1,6,3352,0.5,162,1,1,1,1,1,1,3
754,5,0.5,7,7,10,1914,1928,6,3,59,1027,0.7,178,1,0,0,0,1,1,1
728,12,2.7,4,0,1,526,1529,5,1,25,2039,0.2,88,1,0,1,1,0,1,1
1431,8,0.5,1,0,1,156,952,7,3,56,461,0.6,191,0,1,0,0,1,1,0
767,15,1.5,4,4,10,344,1517,10,0,28,527,0.7,175,0,0,1,0,0,0,0
1722,15,2.6,2,8,16,865,1741,14,0,18,3271,0.8,177,0,0,0,1,0,1,3
1992,4,1.6,2,5,15,1552,1596,9,3,57,606,1.0,100,0,1,1,1,1,1,1
1876,16,0.5,6,10,14,546,1564,10,8,40,2513,0.3,86,0,0,1,0,1,1,3
1054,14,1.1,6,10,12,1097,1222,18,4,38,1675,0.4,136,1,0,1,1,1,1,1
1283,17,1.6,5,4,5,372,692,9,6,47,2698,0.9,93,1,1,1,0,0,1,2
1281,6,2.3,1,0,6,1285,1617,12,1,28,1129,0.3,148,1,1,1,0,0,0,1
1066,6,0.6,7,2,18,1242,1571,19,13,7,468,0.9,114,0,0,1,0,1,1,0
730,4,2.1,8,0,2,302,1247,19,15,4,1210,0.1,89,1,0,1,1,1,1,0
1053,5,0.8,1,7,12,594,1767,17,6,45,3086,0.3,103,1,1,1,1,1,1,3
1611,9,0.5,3,11,14,303,714,8,4,3,1595,0.6,98,1,1,0,1,0,1,1
793,14,1.0,2,5,15,1858,1935,17,13,30,2332,0.9,133,1,0,1,1,1,1,2
1220,15,2.9,4,3,8,403,1933,19,11,62,2589,0.5,125,0,0,1,1,0,1,2
1662,13,0.5,4,0,13,32,1509,9,5,61,3760,0.8,126,0,0,1,1,1,1,3
1281,9,2.8,4,3,19,590,954,8,2,8,1851,0.3,144,1,1,1,0,1,1,1
538,9,0.8,7,12,13,235,662,8,4,2,417,0.8,177,0,0,0,1,1,1,0
823,11,0.5,8,0,4,630,888,13,9,39,294,0.4,187,0,1,0,1,0,0,0
1733,9,2.8,6,3,20,357,527,17,16,36,3576,1.0,119,0,1,0,0,1,1,3
1429,18,1.5,3,0,14,246,820,11,7,40,3945,0.9,100,1,0,0,1,1,1,3
1839,18,1.2,7,9,11,475,1493,19,10,54,927,0.5,200,0,1,0,1,1,1,1
659,2,2.7,3,6,7,1054,1929,15,5,6,2044,0.5,110,0,0,0,1,1,1,1
1953,4,2.1,8,7,9,555,764,11,5,56,2334,0.1,158,1,1,0,0,0,1,2
